step,pcvm_x,pcvm_y,exec_x,exec_y,regularized_x,regularized_y,reward
1,0.17061017761305727,0.6332491626043423,0.1706101776130573,0.6332491626043424,0.1706101776130573,0.6332491626043424,2.876841903059695
2,0.02889836518419106,0.5840784170524815,0.13158856209388334,0.48841369207908136,0.13158856209388334,0.48841369207908136,-0.20350294565362662
3,0.25995753822833295,0.4522606846270868,0.36264773513802523,0.3565959596536866,0.36264773513802523,0.3565959596536866,1.7040081303053856
4,0.25995753822833295,0.4522606846270868,0.36264773513802523,0.3565959596536866,0.36264773513802523,0.3565959596536866,-0.14748413941160451
5,0.8464715472918354,1.1873278396641165,0.9491617442015277,1.0916631146907163,0.9491617442015277,1.0916631146907163,4.318511062095409
6,0.751646133263453,1.0711033118984772,0.8556073190335642,0.9744130847056799,0.8556073190335642,0.9744130847056799,-0.3217352113844284
7,1.0895996203808378,1.4659973165789015,1.193560806150949,1.3693070893861041,1.193560806150949,1.3693070893861041,1.2805417776013355
8,0.9912901174314691,1.3527045911732158,1.0960298182951222,1.255343470595428,1.0960298182951222,1.255343470595428,-0.3179337921771956
9,1.6414938847741571,1.1833490110623708,1.7462335856378104,1.0859878904845832,1.7462335856378104,1.0859878904845832,1.7489856886825441
10,1.6258575900338765,1.3325318059376348,1.6010766755655514,1.123796242184626,1.6010766755655514,1.123796242184626,-0.7167101253013265
11,1.6254125518042084,1.3375438725097835,1.5982621497393452,1.1285789494135456,1.5982621497393452,1.1285789494135456,-0.7393245554691993
12,1.6254125518042084,1.3375438725097835,1.5982621497393452,1.1285789494135456,1.5982621497393452,1.1285789494135456,-0.2567166989472971
13,1.6254125518042084,1.3375438725097835,1.5982621497393452,1.1285789494135456,1.5982621497393452,1.1285789494135456,-0.939650283484981
14,1.6254125518042084,1.3375438725097835,1.5982621497393452,1.1285789494135456,1.5982621497393452,1.1285789494135456,-0.2587266734908742
15,0.9848138905396541,0.293855035315181,0.9576634884747909,0.08489011221894316,0.9705336053201685,0.1058586188630175,1.5480536432635166
16,0.9848138905396541,0.293855035315181,0.9576634884747909,0.08489011221894316,0.9705336053201685,0.1058586188630175,-0.879142506228949
17,0.9848138905396541,0.293855035315181,0.9576634884747909,0.08489011221894316,0.9705336053201685,0.1058586188630175,-0.26754622207599643
18,0.6045199218630779,-0.5951307998661544,0.5773695197982147,-0.8040957229623922,0.5902396366435925,-0.7831272163183178,2.0106468045520507
19,0.6045199218630779,-0.5951307998661544,0.5773695197982147,-0.8040957229623922,0.5902396366435925,-0.7831272163183178,-0.25795661219923904
20,0.6045199218630779,-0.5951307998661544,0.5773695197982147,-0.8040957229623922,0.5902396366435925,-0.7831272163183178,-0.8251141139398612
21,0.49725348041711803,-0.4902789494317416,0.6080821739459653,-0.6572736099303265,0.6209522907913431,-0.6363051032862521,-0.9504993584896179
22,0.8610570756728504,-1.0676698654473957,0.9718857692016978,-1.2346645259459805,0.9847558860470755,-1.2136960193019062,1.6611348385476996
23,0.8610570756728504,-1.0676698654473957,0.9718857692016978,-1.2346645259459805,0.9847558860470755,-1.2136960193019062,-0.2583118797483856
24,0.8610570756728504,-1.0676698654473957,0.9718857692016978,-1.2346645259459805,0.9847558860470755,-1.2136960193019062,-0.7768982226951977
